datetime,tempmax,tempmin,windspeed,cloudcover,humidity,conditions
5/9/2024,31,23,20.5,89.2,87.1,"Rain, Partially cloudy"
5/10/2024,31.7,24,24.1,66.2,82.9,"Rain, Partially cloudy"
5/11/2024,33,26,20.5,60.1,82.3,Clear
5/12/2024,34,24.6,24.1,70,84.8,Clear
5/13/2024,30.1,23,16.6,62.9,80.9,"Rain, Partially cloudy"
5/14/2024,32,24,14.8,46.5,78.6,"Rain, Partially cloudy"
5/15/2024,31.1,24,22.3,75.9,87.2,"Rain, Partially cloudy"
5/16/2024,31,25,16.6,84.7,78.6,"Rain, Partially cloudy"
5/17/2024,31.1,25,20.5,70.7,74.7,"Rain, Partially cloudy"
5/18/2024,32.3,26.9,22.3,89.6,84,Clear
5/19/2024,32,25,25.9,84.8,88,"Rain, Partially cloudy"
5/20/2024,31,25,16.6,50.1,84.6,"Rain, Partially cloudy"
5/21/2024,34,26,10.7,72.2,81.4,Clear
5/22/2024,33.2,25,16.6,51.5,76.3,Clear
5/23/2024,32,25.8,14.8,60.5,82.3,"Rain, Partially cloudy"
5/24/2024,35,26,22.3,56.1,78.6,Clear
5/25/2024,32,26,20.5,71,89.4,"Rain, Partially cloudy"
5/26/2024,35,26,13,63.5,81.4,Clear
5/27/2024,36,28,14.8,69.9,73.2,Clear
5/28/2024,35,29,14.8,55.7,76.2,Clear
5/29/2024,36,29,24.1,75.9,78.3,Clear
5/30/2024,35,26,29.5,80,80.5,Clear
5/31/2024,29,23.8,13,90.1,84.5,"Rain, Overcast"
6/1/2024,34,26.4,11.2,49.9,73.3,Clear
6/2/2024,36,27,22.3,52.6,78.1,Clear
6/3/2024,36.1,27,29.5,59.1,78.5,Clear
6/4/2024,33.4,27,14.8,66.2,84.6,Clear
6/5/2024,29,25.8,20.5,91.2,88.7,"Rain, Overcast"
6/6/2024,28.1,24,16.6,94.3,88.6,"Rain, Overcast"
6/7/2024,33,26,22.3,78.6,85.7,Clear
6/8/2024,33,26,14.8,76.5,84.5,Clear
6/9/2024,27.2,26,13,88.3,95.4,"Rain, Partially cloudy"
6/10/2024,31.4,26,16.6,84.3,89.9,"Rain, Partially cloudy"
6/11/2024,35,27.9,18.4,67.7,84.4,Clear
6/12/2024,35.6,28,11.2,63.6,76.2,Clear
6/13/2024,37.8,28.9,13,51.1,67.2,Clear
6/14/2024,37,30,11.2,67.3,63.3,Clear
6/15/2024,34.7,29,13,49.6,81.2,Clear
6/16/2024,37,27,16.6,51.3,80,Clear
6/17/2024,37.2,26,37.1,59.3,80.4,Clear
6/18/2024,35.4,26,14.8,66.6,83,Clear
6/19/2024,38,24,24.1,68.2,77.8,Clear
6/20/2024,36,26,16.6,74.1,80.9,Clear
6/21/2024,35.1,29,18.4,75.2,85.9,Clear
6/22/2024,34.7,29,18.4,78.3,79.4,Clear
6/23/2024,35,28,22.3,64,80.5,Clear
6/24/2024,32,27,14.8,79.7,86,"Rain, Partially cloudy"
6/25/2024,31.1,26.1,16.6,69.5,90.6,"Rain, Partially cloudy"
6/26/2024,30,26,16.6,78.9,88.1,"Rain, Partially cloudy"
6/27/2024,33,25,18.4,65.8,85.8,Clear
6/28/2024,33,27.8,24.1,68.1,82.3,Clear
6/29/2024,36,28.6,16.6,64.8,77.6,Clear
6/30/2024,36,28,13,97.1,73.3,Clear
7/1/2024,35.4,30,13,90.3,65.7,Clear
7/2/2024,32.3,27,16.6,81,83.8,Clear
7/3/2024,29.4,26,22.3,79.8,92.9,"Rain, Partially cloudy"
7/4/2024,34,26,25.9,53.5,79.3,Clear
7/5/2024,35,26,25.9,47.1,77.9,Clear
7/6/2024,35,27,20.5,53.3,78.6,Clear
7/7/2024,35,28,25.9,45.9,74.8,Clear
7/8/2024,35,28,22.3,56.5,76.3,Clear
7/9/2024,36,28.8,22.3,66.1,80.1,Clear
7/10/2024,32.5,26,14.8,60.4,85.8,Clear
7/11/2024,36.1,27,18.4,49.5,78.3,Clear
7/12/2024,36,27.7,20.5,75,75.8,Clear
7/13/2024,35,29,25.9,65.2,76.3,Clear
7/14/2024,33,26,20.5,59.1,81.6,Clear
7/15/2024,35,26,18.4,75.7,83.6,Clear
7/16/2024,35,27,18.4,74.7,82.2,Clear
7/17/2024,32.1,26,16.6,80.1,85.8,Clear
7/18/2024,30,26,22.3,88.4,90.1,"Rain, Partially cloudy"
7/19/2024,32,26,16.6,74.5,88.8,"Rain, Partially cloudy"
7/20/2024,32,27,25.9,63.1,88.6,"Rain, Partially cloudy"
7/21/2024,36,27,14.8,55,79.3,Clear
7/22/2024,33.3,26.7,13,70.6,83.8,Clear
7/23/2024,29.1,25,22.3,90.1,94.1,"Rain, Overcast"
7/24/2024,32,25.5,14.8,91,90,"Rain, Overcast"
7/25/2024,33,27,13,78.1,85,Clear
7/26/2024,37.7,27,16.6,60,75.1,Clear
7/27/2024,37,28,27.7,65.3,78.9,Clear
7/28/2024,32.1,24,22.3,81.3,87.9,Clear
7/29/2024,29.7,26,16.6,82,92,"Rain, Partially cloudy"
7/30/2024,31,26,22.3,91.1,91.8,"Rain, Overcast"
7/31/2024,31,26,13,86,85.4,"Rain, Partially cloudy"
8/1/2024,31,27,14.8,86.2,80.8,"Rain, Partially cloudy"
8/2/2024,29,26,16.6,87.9,86.6,"Rain, Partially cloudy"
8/3/2024,32.4,26,14.8,64.1,83.4,Clear
8/4/2024,35,27,24.1,65,76.7,Clear
8/5/2024,34.4,28,16.6,59.9,79.6,Clear
8/6/2024,35.7,27,25.9,45.4,79.5,Clear
8/7/2024,35.8,28,24.1,44.7,80.1,Clear
8/8/2024,37,26,16.6,40.3,77.3,Clear
8/9/2024,38,27,18.4,44,71.7,Clear
8/10/2024,38,27,31.7,57.1,73.7,Clear
8/11/2024,32,24,31.7,64.7,84.9,"Rain, Partially cloudy"
8/12/2024,33,27,16.6,72.3,83.7,Clear
8/13/2024,32,26,16.6,79,88.4,"Rain, Partially cloudy"
8/14/2024,30.4,26,13,89.3,90.5,"Rain, Partially cloudy"
8/15/2024,33.6,26,14.8,79.4,85.5,Clear
8/16/2024,34.1,26,11.2,73.6,76.8,Clear
8/17/2024,33.3,27,14.8,74.3,82.3,Clear
8/18/2024,34,28,13,74.3,82.7,Clear
8/19/2024,33,27,11.2,57.3,84.5,Clear
8/20/2024,33.4,26.8,14.8,65.3,83.5,Clear
8/21/2024,33,26.7,13,79,86.7,Clear
8/22/2024,35.3,24,20.5,64.5,83.1,Clear
8/23/2024,27.1,24,14.8,83.9,94.5,"Rain, Partially cloudy"
8/24/2024,32,24,13,63.1,89.6,"Rain, Partially cloudy"
8/25/2024,31.7,25,16.6,72.4,85.4,"Rain, Partially cloudy"
8/26/2024,35,26.5,14.8,59.3,79,Clear
8/27/2024,35.7,26.5,14.8,47.6,78.9,Clear
8/28/2024,36.2,28,14.8,35.9,76.2,Clear
8/29/2024,35,28,11.2,52.5,81.2,Clear
8/30/2024,32.2,25,18.4,71.5,82.2,Clear
8/31/2024,35,27,13,45.5,77.7,Clear
9/1/2024,33,27,14.8,75.1,80.6,Clear
9/2/2024,35,27,11.2,58.2,76.1,Clear
9/3/2024,34,25,22.3,58.8,82.4,Clear
9/4/2024,36,26,13,43.7,76.4,Clear
9/5/2024,37,27,14.8,46.7,75.4,Clear
9/6/2024,37,26,25.9,70.7,81.1,Clear
9/7/2024,28,25,53.6,98.1,92.8,"Rain, Overcast"
9/8/2024,30,25,38.9,95.1,93,"Rain, Overcast"
9/9/2024,30.1,25,30.6,75.2,92.8,"Rain, Partially cloudy"
9/10/2024,28,24,14.8,89.8,94.4,"Rain, Partially cloudy"
9/11/2024,26,24,14.8,93.9,95.3,"Rain, Overcast"
9/12/2024,31.8,24.9,13,60.2,87.1,"Rain, Partially cloudy"
9/13/2024,33,25,20.5,62.9,83.2,Clear
9/14/2024,34.1,25,18.4,61.1,79.7,Clear
9/15/2024,35,27,13,35.1,79.9,Clear
9/16/2024,33,24,20.5,68.2,85,Clear
9/17/2024,33,26,18.4,81.2,83.1,Clear
9/18/2024,34,27,13,67.5,79,Clear
9/19/2024,35,27.8,18.4,60.3,72.6,Clear
9/20/2024,34.1,26,24.1,64.6,83.4,Clear
9/21/2024,34,25,37.1,76.6,90,Clear
9/22/2024,28,25.8,18.4,95.8,89.2,"Rain, Overcast"
9/23/2024,29,24,13,85.1,78.3,"Rain, Partially cloudy"
9/24/2024,33,23,18.4,32.2,71.4,Clear
9/25/2024,29.1,25,9.4,43.8,80.6,"Rain, Partially cloudy"
9/26/2024,32.4,25,16.6,24.8,77.8,Clear
9/27/2024,34,25,18.4,36.5,78.9,Clear
9/28/2024,35,27,16.6,64.6,81.7,Clear
9/29/2024,34,26.5,25.9,85.4,83.4,Clear
9/30/2024,30,26.7,16.6,86.5,91.5,"Rain, Partially cloudy"
10/1/2024,32.7,25,27.7,79.1,78.2,Clear
10/2/2024,29,23.7,20.5,47.5,61.9,"Rain, Partially cloudy"
10/3/2024,29.4,22,18.4,40.9,54,Partially cloudy
10/4/2024,30.4,20,16.6,40.8,59.8,Partially cloudy
10/5/2024,31.7,21,11.2,0.3,63,Clear
10/6/2024,33,21,11.2,10.6,65.7,Clear
10/7/2024,33,23,14.8,16.8,64.9,Clear
10/8/2024,32,25,18.4,8.3,59.5,Clear
10/9/2024,30.1,24,14.8,21,68.3,Partially cloudy
10/10/2024,31,22,13,20.9,73.4,Partially cloudy
10/11/2024,32,23,13,18.2,68.9,Clear
10/12/2024,32,23,16.6,24,71.3,"Rain, Partially cloudy"
10/13/2024,33,24,18.4,43.2,73.4,Clear
10/14/2024,33,24.4,13,49.9,73.8,Clear
10/15/2024,32,25,20.5,64.5,85.6,"Rain, Partially cloudy"
10/16/2024,31,24.8,13,74.5,79.3,"Rain, Partially cloudy"
10/17/2024,33,26,18.4,58.3,77.5,Clear
10/18/2024,34,25,18.4,43.9,78.4,Clear
10/19/2024,34,25,18.4,40.8,79,Clear
10/20/2024,34,25.7,14.8,49.3,72.5,Clear
10/21/2024,29,25,11.8,68,89.9,"Rain, Partially cloudy"
10/22/2024,33,24,11.2,38.6,78.5,Clear
10/23/2024,30,24,27.1,47.1,61.4,"Rain, Partially cloudy"
10/24/2024,32,20,18.4,58.8,51.7,Partially cloudy
10/25/2024,32,18,11.2,52.7,60.8,Partially cloudy
10/26/2024,32,20,20.5,66.1,56.6,Partially cloudy
10/27/2024,28,20,25.9,94.4,65.8,"Rain, Overcast"
10/28/2024,25,20.8,20.5,91.1,73.3,"Rain, Overcast"
10/29/2024,27,21,18.4,72.3,68.8,"Rain, Partially cloudy"
10/30/2024,32,21.5,14.8,45.6,67.3,"Rain, Partially cloudy"
10/31/2024,32,22,9.4,9.7,76,Clear
